Word(s),Spoken Form (If Different)
admin
APIs,apis
auth
backend,back end
BNR,B N R
CI,C I
codingitwrong,coding it wrong
CSS,C S S
DNS
endpoint,and point
etc., at sea
FAQ, F A Q
frontend,front end
GitHub,getup
graph,graf
graphiql,graph I Q L
GraphQL,graf quell
GraphQL,graph cruel
GraphQL,graph Q L
hey,hay
HTTP
jjustice,J justice
JSON,jason
Justworks,just works
Minecraft
modularization,modular satin
npm,N P M
Packwerk,pack work
PEO,P E O
PR, P R
pull,paul
pull,pol
Pushpesh,push bash
Pushpesh,push pash
Rao,raw
Rao,rout
RESTful,restful
Ruby
RubyConf,ruby conf
Sean,shan
Smalltalk,small talk
TBD, T B D
typing,taping
UI,you I
VPN
VPN
wins,winds
y'all
Yujin,Eugen
